Reference,Qty,Value,MPN,Manufacturer,Package,DNP,Qty1_USD,Qty100_USD,Ext1_USD,Ext100_USD,Buy,Datasheet,Notes
C9,1,100nF 50V,GRM155R71H104KE14D,Murata,0402,no,0.04,0.02,0.04,0.02,https://www.digikey.com/en/products/result?keywords=GRM155R71H104KE14D,,MCU VDD
C10,1,1uF 10V,GRM155R61A105KE15D,Murata,0402,no,0.06,0.03,0.06,0.03,https://www.digikey.com/en/products/result?keywords=GRM155R61A105KE15D,,MCU VDD bulk
C11,1,100nF 50V,GRM155R71H104KE14D,Murata,0402,no,0.04,0.02,0.04,0.02,https://www.digikey.com/en/products/result?keywords=GRM155R71H104KE14D,,MCU VDD
C12,1,1uF 6.3V,GRM155R61A105KE15D,Murata,0402,no,0.06,0.03,0.06,0.03,https://www.digikey.com/en/products/result?keywords=GRM155R61A105KE15D,,EPD VDD
C13,1,1uF 25V,GRM188R61E105KA12D,Murata,0603,no,0.10,0.04,0.10,0.04,https://www.digikey.com/en/products/result?keywords=GRM188R61E105KA12D,,EPD VGH
C14,1,1uF 25V,GRM188R61E105KA12D,Murata,0603,no,0.10,0.04,0.10,0.04,https://www.digikey.com/en/products/result?keywords=GRM188R61E105KA12D,,EPD VGL
C15,1,1uF 25V,GRM188R61E105KA12D,Murata,0603,no,0.10,0.04,0.10,0.04,https://www.digikey.com/en/products/result?keywords=GRM188R61E105KA12D,,EPD VSH1
C16,1,1uF 25V,GRM188R61E105KA12D,Murata,0603,no,0.10,0.04,0.10,0.04,https://www.digikey.com/en/products/result?keywords=GRM188R61E105KA12D,,EPD VSH2
C17,1,1uF 25V,GRM188R61E105KA12D,Murata,0603,no,0.10,0.04,0.10,0.04,https://www.digikey.com/en/products/result?keywords=GRM188R61E105KA12D,,EPD VSL
C18,1,1uF 25V,GRM188R61E105KA12D,Murata,0603,no,0.10,0.04,0.10,0.04,https://www.digikey.com/en/products/result?keywords=GRM188R61E105KA12D,,EPD VCOM
C19,1,1uF 6.3V,GRM155R61A105KE15D,Murata,0402,no,0.06,0.03,0.06,0.03,https://www.digikey.com/en/products/result?keywords=GRM155R61A105KE15D,,EPD VCI
CT1,1,15pF NP0,GRM1555C1H150JA01D,Murata,0402,yes,0.08,0.03,0.00,0.00,https://www.digikey.com/en/products/result?keywords=GRM1555C1H150JA01D,,Antenna tune. DNP until a sweep.
CT2,1,27pF NP0,GRM1555C1H270JA01D,Murata,0402,yes,0.08,0.03,0.00,0.00,https://www.digikey.com/en/products/result?keywords=GRM1555C1H270JA01D,,Antenna tune. DNP until a sweep.
R1,1,22,RC0402FR-0722RL,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-0722RL,,Inrush limit into C2
R2,1,453k,RC0402FR-07453KL,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-07453KL,,Boost FB top. 3.29 V with R3.
R3,1,100k,RC0402FR-07100KL,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-07100KL,,Boost FB bottom
R4,1,220k,RC0402FR-07220KL,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-07220KL,,VSTORE divider
R5,1,100k,RC0402FR-07100KL,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-07100KL,,VSTORE divider
R6,1,1k,RC0402FR-071KL,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-071KL,,TPS22917 QOD
R7,1,2.2k,RC0402FR-072K2L,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-072K2L,,I2C SCL pull-up
R8,1,2.2k,RC0402FR-072K2L,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-072K2L,,I2C SDA pull-up
R9,1,10k,RC0402FR-0710KL,Yageo,0402,no,0.02,0.01,0.02,0.01,https://www.digikey.com/en/products/result?keywords=RC0402FR-0710KL,,FD pull-up
R10,1,0.47,RL0402FR-070R47L,Yageo,0402,no,0.08,0.04,0.08,0.04,https://www.digikey.com/en/products/result?keywords=RL0402FR-070R47L,,SSD1683 RESE sense
ANT1,1,PCB loop 2.76uH,N/A,fab,2-turn Class-1,no,0.00,0.00,0.00,0.00,,,On the 91 mm x 77 mm outline.
PCB1,1,4-layer 91x77 mm,N/A,JLCPCB,91 x 77 mm,no,8.00,0.85,8.00,0.85,https://jlcpcb.com/,,Qty1 is a proto panel. Qty100 uses JLCPCB 4-layer ~$70.60/m2 plus setup and ship.
TOTAL,,,,,,,40.08,20.33,40.08,20.33,,,USD snapshots 2026-09-04. DNP lines are 0. Display qty100 is a factory band. SMT assembly is extra.
